Word,Definition,Example 1,Example 2
airport,"a place where aircraft regularly take off and land, with buildings for passengers to wait in",an international airport,a military airport
airship,"a large aircraft without wings, used especially in the past, consisting of a large bag filled with gas that is lighter than air and driven by engines. Passengers were carried in a structure hanging below",,
boil,"to reach, or cause something to reach, the temperature at which a liquid starts to turn into a gas",Liquid nitrogen boils at a very low temperature.,She scalded herself on some boiling water.
tension,a feeling of nervousness before an important or difficult event,You could feel the tension in the room as we waited for our exam results.,ethnic/racial tension
momentum,the force that keeps an object moving,"Once you push it, it keeps going under its own momentum.",The spacecraft will fly around the earth to gain/gather momentum for its trip to Jupiter.
impulse,a sudden strong wish to do something,"impulse to I had this sudden impulse to shout out ""Nonsense!"" in the middle of her speech.","I didn't know you were looking for some new shoes. ""Oh, I wasn't - I just bought them on impulse."""
entropy,the amount of order or lack of order in a syste,,
inclined,likely or wanting to do something,inclined to Tom is inclined to be lazy.,literary Tom is inclined to laziness.
condensation,"the drops of water that appear on cold windows or other surfaces, as a result of hot air or steam becoming cool",We get a lot of condensation on the walls in the winter.,
evaporation,"the process of a liquid changing to a gas, especially by heating",Ice cover prevents evaporation of water from the lake surface.,Fruit juice is concentrated through evaporation.
condensation,"the drops of water that appear on cold windows or other surfaces, as a result of hot air or steam becoming cool",We get a lot of condensation on the walls in the winter.,
quadrilateral,a flat shape with four straight sides,Squares and rectangles are quadrilaterals.,
perpendicular,at an angle of 90° to a horizontal line or surface,We scrambled up the nearly perpendicular side of the mountain.,The wheel rotates around an axis that is perpendicular to the plane.
concentric,Concentric circles and rings have the same centre,a concentric pattern,
intensity,the quality of being felt strongly or having a very strong effect,The explosion was of such intensity that it was heard five miles away.,measures of light intensity
hermetically,in a way that does not allow any air or other substance to leave or enter,They were quarantined for three weeks under hermetically sealed conditions.,Companies resorted to hermetically sealed packaging.
copper,"a chemical element that is a reddish-brown metal, used especially for making wire and coins",They mine a lot of copper around these parts.,One of the properties of copper is that it conducts heat and electricity very well.
elongated,longer and thinner than usual,In the photo her face was slightly elongated.,Giacometti’s elongated sculptures of young women
equilibrium,a state of balance,"The disease destroys much of the inner ear, disturbing the animal's equilibrium.",the country's economic equilibrium
alternative,An alternative plan or method is one that you can use if you do not want to use another one,The opposition parties have so far failed to set out an alternative strategy.,An alternative venue for the concert is being sought.
although,despite the fact that,"She walked home by herself, although she knew that it was dangerous.","He decided to go, although I begged him not to."
altitude,height above sea level,"We are currently flying at an altitude of 15,000 metres.",Mountain climbers use oxygen when they reach higher altitudes.
aluminum,US spelling of,,
aluminiu,,,
ambitious,"having a strong wish to be successful, powerful, or rich",an ambitious young lawyer,He's very ambitious for his children (= he wants them to be successful).
amenities,"something, such as a swimming pool or shopping centre, that is intended to make life more pleasant or comfortable for the people in a town, hotel, or other place","The council has some spare cash, which it proposes to spend on public amenities.","The 200-year-old jail is overcrowded, understaffed, and lacking in basic amenities."
amongst,in the middle of or surrounded by other things,I saw a few familiar faces among the crowd.,Rescue teams searched among the wreckage for survivors.
amphibian,relating to animals of the class Amphibia (= the amphibians),"Salamanders, frogs, and other amphibian creatures are particularly sensitive to extreme pH levels.","Salamanders, frogs, and other amphibian creatures are particularly sensitive to extreme pH levels."
ample,more than enough,ample evidence There's ample evidence that the lawyer knew exactly what she was doing.,ample opportunity You'll have ample opportunity to ask questions after the talk.
amplitude,a large amount or wide range,The sheer amplitude of the novel invites comparisons with Tolstoy.,
Analogously,in a similar way,Each role in the company is compared to a part of the body and its requirements are described analogously.,The terms in the equation can be interpreted analogously.
ancient,"of or from a long time ago, having lasted for a very long time","History, ancient and modern, has taught these people an intense distrust of their neighbours.",ancient times People have lived in this valley since ancient times.
announced,past simple and past participle of,,
announc,They announced the death of their mother in the local paper.,She announced the winner of the competition to an excited audience.,
annual fee,,,
annuity,"a fixed amount of money paid to someone every year, usually until their death, or the insurance agreement or investment that provides the money that is paid",an annuity policy,annuity income
antenna,"either of a pair of long, thin organs that are found on the heads of insects and crustaceans (= animals with hard outer shells) and are used to feel wit",Her finely-tuned political antennae helped her to sense problems that less experienced politicians might not detect.,fig. Her political antennae helped her answer questions without offending anyone.
anthropology,"the study of the human race, its culture and society, and its physical developmen",,
appealing,attractive or interesting,The idea of not having to get up early every morning is rather appealing (to me).,He had a nice smile and an appealing personality.
appointment,a formal arrangement to meet or visit someone at a particular time and place,dental appointment I have a dental appointment tomorrow morning.,medical appointment They have to travel to Fort William for a medical appointment.
approach,"to come near or nearer to something or someone in space, time, quality, or amount",We could just see the train approaching in the distance.,"If you look out of the window on the left, you'll see that we're now approaching the Eiffel Tower."
April,"the fourth month of the year, after March and before May",We came back in April.,The meeting is on 4 April.
aquarium,a glass container in which fish and other water creatures can be kep,,
archaeology,"the study of the buildings, graves, tools, and other objects that belonged to people who lived in the past, in order to learn about their culture and society",study archaeology We both studied archaeology at university before coming to work at the museum.,experimental archaeology
archery,the art or sport of shooting arrow,,
architect,a person whose job is to design new buildings and make certain that they are built correctl,Bevan was the architect of the British National Health Service.,Doug and Wendy worked with an architect to create their dream home.
architecture,the art and practice of designing and making buildings,to study architecture,Roman architecture
arduously,in a way that is difficult and needs a lot of effort and energy,He worked arduously to improve his physical condition.,Travelling by bus can be an arduously slow process.
arguad,,,
arrange,"to plan, prepare for, or organize something",I'm trying to arrange my work so that I can have a couple of days off next week.,arrange something for something The meeting has been arranged for Wednesday.
art gallery,a building where works of art can be seen by the public,London is famous for its museums and art galleries.,She works in a little art gallery in Brooklyn.
aspect,"one part of a situation, problem, subject, etc.",aspect of Which aspects of the job do you most enjoy?,His illness affects almost every aspect of his life.
assault,a violent attack,launch an assault They launched an assault on the capital yesterday.,sexual assault He was charged with sexual assault.
assessment,"the act of judging or deciding the amount, value, quality, or importance of something, or the judgment or decision that is made",Would you say that is a fair assessment of the situation?,Both their assessments of production costs were hopelessly inaccurate.
associated,connected,"She was prepared to take on the job, with all its associated risks.",The Associated Press
athlete,"a person who is very good at sports or physical exercise, especially one who competes in organized events",He became a professional athlete at the age of 16.,She has the build of an athlete.
attendance,"the fact of going somewhere such as a church, school, etc. regularly",Attendance at lectures is compulsory.,Attendances at church are falling.
attitude,"a feeling or opinion about something or someone, or a way of behaving that is caused by this",It's often very difficult to change people's attitudes.,take the attitude that She takes the attitude that children should be allowed to learn at their own pace.
audience,"the group of people together in one place to watch or listen to a play, film, someone speaking, etc.",She lectures to audiences all over the world.,The secret to public speaking is to get the audience on your side.
August,"the eighth month of the year, after July and before September",in August They usually go to their holiday home in August.,We're going to Australia on 1 August.
Australia,a large country in the southwest Pacific Ocea,,
automobile,a car,the automobile industry,the automobile industry
avalanche,"a large amount of ice, snow, and rock falling quickly down the side of a mountai",We were swamped by an avalanche of letters/phone calls/complaints.,We received an avalanche of complaints.
avenue,"a wide road with trees or tall buildings on both sides, or a wide country path or road with trees on both sides",Fremont Avenue,We should explore/pursue every avenue in the search for an answer to this problem.
aware,"knowing that something exists, or having knowledge or experience of a particular thing",[ + that ] I wasn't even aware that he was ill.,Were you aware of the risks at the time?
awesome,"causing feelings of great admiration, respect, or fear",An awesome challenge/task lies ahead of them.,awesome scenery
axis,"a real or imaginary straight line going through the centre of an object that is spinning, or a line that divides a symmetrical shape into two equal halves",The earth revolves around the axis that joins the North and South Poles.,The diameter of a circle is also an axis.
bachelor's,a first degree at college or universit,,
backpack,"a large bag used to carry things on your back, used especially by people who go camping or walking",It's a frame backpack with a belt and padded shoulder straps.,When we were students we backpacked in Thailand.
badminton,a sport in which two or four people hit a shuttlecock (= a light object with feathers) over a high ne,,
balanced diet,a combination of the correct types and amounts of food,"If you have a balanced diet, you are getting all the vitamins you need.",
ballet,"a type of dancing where carefully organized movements tell a story or express an idea, or a theatre work that uses this type of dancing",a ballet dancer,By the age of 15 he had already composed his first ballet (= music for a ballet).
bank statement,a record of the money put into and removed from a bank accoun,The bank no longer returns the actual cancelled cheques with the bank statement every month.,You can read your bank statements online.
barbell,a long bar with a weight on each end that you lift up and down to make your arm and shoulder muscles stronger,A deadlift is when you hoist a barbell from the floor to the middle of your thighs.,The barbell drooped at both ends from the enormous weight.
bark,the hard outer covering of a tre,Peppermint bark should snap when you break or bite into it.,"They sell fine handmade cookies, cakes, fudge, and chocolate barks."
baseball,"a game played especially in North America by two teams of nine players, in which a player hits a ball with a bat (= stick) and tries to run around four bases on a large field before the other team returns the ball",He said he enjoyed fishing and watching baseball.,play baseball Jake never play baseball like the other kids.
basement,a part of a building consisting of rooms that are partly or completely below the level of the ground,Our kitchenware department is in the basement.,a basement flat
basketball,a game played by two teams of five players who score points by throwing a large ball through an open net hanging from a metal rin,He walked along bouncing a basketball.,
beans,"a seed, or the pod containing seeds, of various climbing plants, eaten as a vegetable",green beans,kidney beans
bedroom,a room used for sleeping in,Our home has three bedrooms.,the master bedroom (= the main bedroom in a house)
Bengali,belonging to or relating to Bangladesh and West Bengal or their peopl,,
betterment,improvement,Several changes have been made for the betterment of the sport.,Governor O'Malley yesterday described the betterment of Maryland's infrastructure as an investment for future generations.
beyond,further away in the distance (than something),"In the distance, beyond the river, was a small town.",From the top of the hill we could see our house and the woods beyond.
bilingual,able to use two languages equally well,They are raising bilingual children.,bilingual in He is bilingual in Mandarin and English.
billiards,"a game played by two people on a table covered in soft cloth, in which a cue (= a long stick) is used to hit balls against each other and into pockets around the tabl",,
biology,the scientific study of the natural processes of living things,human biology,marine biology
birds of prey,"a bird, such as an eagle or a hawk, that kills and eats small birds and animal",,
boat,a small vehicle for travelling on water,a rowing/sailing boat,a fishing boat
bone,any of the hard parts inside a human or animal that make up its frame,The child was so thin that you could see her bones.,"human bone During the excavations, numerous artefacts and human bones were found."
bookshop,a shop or website where books are sol,"Running a second-hand bookshop is a guaranteed commercial failure,' he said",
borrow,to get or receive something from someone with the intention of giving it back after a period of time,borrow something from someone I had to borrow a pen from the invigilator to do the exam.,UK non-standard Can I borrow £100 off you until next week?
bowls,"a game played either outside on smooth grass or inside on an artificial surface, in which the players roll a large black or brown ball as close as possible to a smaller white ball",Bowls is one of the most popular sports in the UK.,We had lunch after a leisurely game of bowls.
Brainstorm,"(of a group of people) to suggest a lot of ideas for a future activity very quickly, before considering some of them more carefully",The team got together to brainstorm.,I brainstorm with my colleagues to come up with new promotions and events.
branch,a part of something larger,branch of Immunology is a branch of biological science.,One branch of their family (= one group of relatives) emigrated to Brazil.
Brazil,a country in South Americ,,
bread,"a food made from flour, water, and usually yeast, mixed together and baked",loaf of bread She went to the store to get a loaf of bread.,slice of bread He ate his soup with a slice of bread.
breadth,the distance from one side to another,The length of this box is twice its breadth.,The breadth of her knowledge is amazing.
breaks,"to (cause something to) separate suddenly or violently into two or more pieces, or to (cause something to) stop working by being damaged",break into pieces I dropped the vase and it broke into pieces.,break off I picked it up and the handle broke off.
breathe,to move air or something else into and out of the lungs,breathe (something) in The doctor told me to breathe in and hold it for three seconds.,Breathing in just a small amount of the gas can cause serious damage.
breeze,a light and pleasant wind,a warm/cool breeze,She let the gentle breeze cool her face.
bridge,"a structure that is built over a river, road, or railway to allow people and vehicles to cross from one side to the other","To get to the restaurant, you need to go over the bridge.",We drove across the bridge.
brief,lasting only a short time or containing few words,His acceptance speech was mercifully brief.,I had a brief look at her report before the meeting.
broader,very wide,We walked down a broad avenue lined with trees.,He flashed a broad grin at us.
brown,the colour of chocolate or soil,dark brown There was a dark brown smudge on the carpet.,light brown She has light brown hair.
deficit,"the total amount by which money spent is more than money received, or the state of having spent more money than has been received",The presidential candidate claims that he can cut the deficit in half within five years.,"budget deficit With a budget deficit of nearly £26 billion, the state plans to slash spending on schools and police."
bullying,"the behaviour of a person who hurts or frightens someone smaller or less powerful, often forcing that person to do something they do not want to do",Bullying is a problem in many schools.,Online bullying is a serious concern.
bungalow,"a house that usually has only one storey (= level), sometimes with a smaller upper storey set in the roof and windows that come out from the roof","There were small, white bungalows dotted over the hillside.",
burger,"meat or other food made into a round, fairly flat shape, fried and usually eaten between two halves of a bread roll",a burger and fries,a hamburger
buried,past simple and past participle of,,
bur,His father is buried in the cemetery on the hill.,buried treasure They were on the hunt for buried treasure.,
burring fossil,,,
business card,"a small card that has your name, company name, and the job you do printed on i","His business card gives his title as ""Chief of Security"".",Delegates walk around the booths introducing themselves and exchanging business cards.
business management,"the development and control of processes used in a company, department, project, etc. to make sure they are effectiv",,
cab,"the separate front part of a large vehicle, such as a truck, bus, or train, in which the driver sit",It'll save time if we go by cab.,the cab of a truck
cafe,a restaurant where simple and usually quite cheap meals are served,There's a little café on the corner that serves very good coffee.,We had lunch in a sidewalk café.
canal boat,"a long, narrow boat that is used on a cana",,
canoe,"a small, light, narrow boat, pointed at both ends and moved using a paddle (= a short pole with a flat blade",They canoed across the lake.,
canteen,"a place in a factory, office, etc. where food and meals are sold and can be eaten, often at a lower than usual price",There's a staff canteen and a separate restaurant for senior management.,I usually have my lunch in the canteen on campus.
canyon,a large valley with very steep sides and usually a river flowing along the botto,,
captain,the leader of a sports team,It's unusual to have a goalkeeper as (the) captain of a football team.,This is your captain speaking. We expect to be landing at Osaka Kansai airport in an hour's time.
car park,an area of ground for parking car,,
caravan,"a wheeled vehicle for living or travelling in, especially for holidays, that contains beds and cooking equipment and can be pulled by a ca",a gypsy caravan,
carbohydrates,"one of several substances, such as sugar or starch, that provide the body with energy, or foods containing these substances such as bread, potatoes, pasta, and rice","complex carbohydrate Whole grains are full of complex carbohydrates, vitamins, and minerals.",[ C ] Eat your carbohydrates within two hours after your workout.
carbon dioxide,"the gas formed when carbon is burned, or when people or animals breathe out",carbon dioxide emissions,The UK plans to reduce carbon dioxide emissions by 60% by 2050.
cargo plane,,,
carnival,"(a special occasion or period of) public enjoyment and entertainment involving wearing unusual clothes, dancing, and eating and drinking, usually held in the streets of a city",a Caribbean carnival,There's a real carnival atmosphere in the streets.
carriage,a vehicle with four wheels that is usually pulled by horses and was used mainly in the past,a horse-drawn carriage,a railway carriage
cash,money in the form of notes and coins,in cash Will you pay by credit card or in cash?,strapped for cash informal I'm a bit strapped for cash (= I do not have much money) at the moment.
cashier,"a person whose job is to receive and pay out money in a shop, bank, restaurant, etc","She started as a cashier making $6.50 an hour, then moved up to customer service manager, making $7.65 an hour.",She was once dismissed from her job as head cashier with a supermarket chain on suspicion of embezzlement.
cassette,"a flat rectangular device containing a very long strip of magnetic material that is used to record sound and/or pictures, or a machine that uses such devices",a video cassette,an audio cassette
castle,"a large strong building, built in the past by a ruler or important person to protect the people inside from attac",,
catalogue,a book with a list of all the goods that you can buy from a shop,a mail-order catalogue,The whole holiday was a catalogue of disasters.
catastrophe,a sudden event that causes very great trouble or destruction,They were warned of the ecological catastrophe to come.,The emigration of scientists is a catastrophe for the country.
cattle,"a group of animals that includes cows, buffalo, and bison, that are often kept for their milk or meat",beef/dairy cattle,beef/dairy cattle
caving,the sport of walking and climbing in cave,,
cement,"a grey powder that is mixed with water and sand to make mortar or with water, sand, and small stones to make concrete",a bag of cement,a cement factory
central station,,,
century,a period of 100 years,The city centre has scarcely changed in over a century.,This sculpture must be centuries old.
ceramics,the art of making objects by shaping pieces of clay and then baking them until they are har,ceramic kitchen tiles,
cereals,a plant that is grown to produce grain,cereal crops,breakfast cereals
certificate,an official document that states that the information on it is true,a birth/marriage/death certificate,a doctor's/medical certificate
championship,"a high-level competition to decide who is the best, especially in a sport",the British Diving Championship,The world championships will be held in Scotland next year.
cheap,costing little money or less than is usual or expected,I got a cheap flight at the last minute.,Food is usually cheaper in supermarkets.
cheerful,happy and positive,He's usually fairly cheerful.,You're in a cheerful mood this morning.
cheese,"a food made from milk, or from a milk-like substance taken from plants, that can be either firm or soft and is usually yellow or white in colour",Would you like a slice/piece of cheese with your bread?,goat's cheese Some people dislike goat's cheese because they think it tastes too strong.
chemistry,the scientific study of the basic characteristics of substances and the ways in which they react or combine,She studied chemistry and physics at college.,a chemistry department/laboratory
cheque,"a printed form, used instead of money, to make payments from your bank account",I wrote him a cheque for £50.,"I don't have any cash on me, so could I pay with a/by cheque?"
chess,"a game played by two people on a square board, in which each player has 16 pieces that can be moved on the board in different way",,
chilly,"(of weather, conditions in a room, or parts of the body) cold",The bathroom gets chilly in the winter.,I felt a bit chilly so I put on a jacket.
chimney,a hollow structure that allows the smoke from a fire inside a building to escape to the air outside,Factory chimneys belched dense white smoke into the sky.,
China,"clay of a high quality that is shaped and then heated to make it permanently hard, or objects made from this, such as cups and plates",china clay,china plate
Chinese,"belonging to or relating to China, its people, or its languag",,
chocolate,"a sweet, usually brown, food made from cacao seeds, that is usually sold in a block and is often used as a flavour for desserts, drinks, etc.",a bar of chocolate,milk/dark/white chocolate
cinemas,a theatre where people pay to watch films,The town no longer has a cinema.,a cinema ticket
circuit,a regular pattern of visits or the places visited,on the circuit They first met each other on the tennis circuit (= while at different tennis competitions).,He was a familiar figure on the lecture circuit.
circular,shaped like a circle,a circular flowerbed/tablecloth,Circulars and other junk mail go straight in the bin.
circumstances,how much money someone has,Grants are available depending on your circumstances.,These boys and girls often grew up in dire circumstances.
circumvented,past simple and past participle of,,
circumven,Ships were registered abroad to circumvent employment and safety regulations.,,
cite,to mention something as proof for a theory or as a reason why something has happened,She cited three reasons why people get into debt.,cite something as something The company cited a 13 percent decline in new orders as evidence that overall demand for its products was falling.
cities,a large town,Many of the world's cities have populations of more than five million.,capital city Wellington is the capital city (= centre of government) of New Zealand.
citrus fruits,"an acidic (= sour) fruit with a lot of juice that grows on any of a particular group of plants, including oranges and lemons","Oranges, lemons, limes, and grapefruit are types of citrus fruit.",Citrus fruits should be included in your diet because they are rich in vitamin C.
city centre,the central part of a city,It's impossible to park in the city centre.,
city council,the local government of a cit,,
civilization,"human society with its well developed social organizations, or the culture and way of life of a society or country at a particular period in time","Cuzco was the centre of one of the world's most famous civilizations, that of the Incas.",ancient civilization The ancient civilization was able to sustain a thriving agricultural economy even in those areas with non-irrigated crops.
class,"a group of students who are taught together at school, college, or university",Which class are you in this year?,She gave the whole class extra homework for a week.
classical music,"music that is considered to be part of a long, formal tradition and to have lasting value","Do you prefer classical music like Mozart and Mahler, or pop?",Classical music was playing softly in the background.
classroom,a room in a school or college where groups of students are taugh,Students learning computer studies spend two days each week in a computer lab and four days in the classroom.,"There are also no promotions within the school, so that teachers remain in the classroom throughout their careers."
clerk,"a person who works in an office, dealing with records or performing general office duties",a filing clerk,a junior office clerk
cliff,"a high area of rock with a very steep side, often on a coast",Keep away from the edge of the cliff - you might fall.,the cliff edge
climate,the general weather conditions usually found in a particular place,a hot/dry/harsh climate,The Mediterranean climate is good for growing citrus fruits and grapes.
climbing,"the sport of climbing on rocks or in mountains, or on specially designed walls inside or outdoors",Chris has just taken up climbing.,Climbing can be dangerous.
clinic,"a building, often part of a hospital, to which people can go for medical care or advice relating to a particular condition",Bring your baby to the clinic and we'll take a look at her.,Antenatal clinics provide care for pregnant women.
cluster,"a group of similar things that are close together, sometimes surrounding something",cluster of Have a look at the cluster of galaxies in this photograph.,"There was a cluster of fans around him, asking for autographs."
coach,"someone whose job is to teach people to improve at a sport, skill, or school subject",a tennis/maths coach,head coach Gus Poyet was appointed as head coach.
coal,"a hard, black substance that is dug from the earth in pieces, and can be burned to produce heat or power, or a single piece of this",mine coal How much coal was mined here?,a burning/red hot coal
coast,the land next to or close to the sea,on the coast Rimini is a thriving resort on the east coast of Italy.,off the coast The accident happened three miles off the coast (= in the sea three miles from land).
coffee table,"a small, low table on which coffee is served or books and magazines are arrange",Coffee-table collections of his photographs sell for hundreds of pounds.,She is one of the women profiled in a forthcoming coffee-table publication.
cohesive,united and working together effectively,a cohesive group,cohesive forces
cold,"at a low temperature, especially when compared to the temperature of the human body, and not hot, or warm",a cold day/house,cold food/water
collaboration,the situation of two or more people working together to create or achieve the same thing,in close collaboration The two playwrights worked in close collaboration on the script.,in close collaboration with The two playwrights worked in close collaboration with each other on the script.
colleague,one of a group of people who work together,We're entertaining some colleagues of Carol's tonight.,He always got along well with his colleagues in the university.
collect,to get and keep things of one type such as stamps or coins as a hobby,She collects dolls.,So when did you start collecting antique glass?
college,"a university, especially one where you study for an undergraduate (= first) degree",in college I met my husband when we were in college.,go to college They want their kids to go to (= study at) college.
colored,US spelling of,,
coloure,,,
comfortable,Comfortable furniture and clothes provide a pleasant feeling and do not give you any physical problems,a comfortable bed/sofa,comfortable shoes/trousers
commencement,the beginning of something,Would passengers please turn off their mobile phones before the commencement of the flight.,the Senate's commencement of closed-door deliberations
commerce,the activities involved in buying and selling things,the world of commerce and industry,Congress has the power to regulate commerce between the states.
commercial,related to making money by buying and selling things,a commercial organization/venture/success,commercial law
commit,to do something illegal or something that is considered wrong,He was sent to prison for a crime that he didn't commit.,to commit adultery/murder
commitments,a promise or firm decision to do something,Players must make a commitment to play for a full season.,Can you give a commitment that the money will be made available?
comparison,the act of comparing two or more people or things,make a comparison They made a comparison of different countries' eating habits.,"by comparison with By comparison with the French, the British eat far less fish."
competition,a situation in which someone is trying to win something or be more successful than someone else,Competition for jobs is intense.,competition between There's a lot of competition between computer companies.
competitive,involving competition,competitive sports,competitive advantage
composite,something that is made of various different parts,composite of The main character in her latest novel is a composite of several public figures of that era.,The bodies of these racing cars are moulded from the same composite that is used for making aircraft.
compound,a chemical that combines two or more elements,Salt is a compound of sodium and chlorine.,Many fertilizers contain nitrogen compounds.
comprehensively,completely,a comprehensively illustrated book,The plan was comprehensively rejected.
compulsory,"If something is compulsory, you must do it because of a rule or law",Swimming was compulsory at my school.,The law made wearing seat belts in cars compulsory.
computer centre,,,
computer laboratory,,,
concentrate,"to direct your attention or your efforts towards a particular activity, subject, or problem","Come on, concentrate! We don't have all day to do this.",I can't concentrate on my work with all that noise.
concerned,worried,I'm a bit concerned about/for your health.,[ + (that) ] Aren't you concerned (that) she might tell someone?
concert,a performance of music by one or more musicians or singers,a pop/classical concert,a school concert
concrete,"a very hard building material made by mixing together cement, sand, small stones, and water",reinforced concrete,a concrete floor/path
concur,to agree or have the same opinion,The new report concurs with previous findings.,[ + that ] The board concurred that the editor should have full control over editorial matters.
concurrently,at the same time,Her two dramas are being shown concurrently by rival television stations.,She will learn today whether her two life sentences will run concurrently or consecutively.
condemnded,,,
conducted,past simple and past participle of,,
conduc,We are conducting a survey to find out what our customers think of their local bus service.,The experiments were conducted by scientists in New York.,
conductor,someone who directs the performance of musicians or a piece of music,The conductor raised his baton.,a guest conductor
confidence,"the quality of being certain of your abilities or of having trust in people, plans, or the future",[ + to infinitive ] He has the confidence to walk into a room of strangers and immediately start a conversation.,She's completely lacking in confidence.
confident,"being certain of your abilities or having trust in people, plans, or the future",Be a bit more confident in yourself!,They don't sound confident about the future of the industry.
confronted,having to deal with something or someone that you find difficult or threatening,You can recognize the value of an idea but also feel confronted by it.,
congestion,"a situation in which a place is too blocked or crowded, causing difficulties",These facilities are designed to ease the congestion of emergency rooms.,Cases are being repeatedly delayed because of congestion in the courts.
consecutive,"Consecutive events, numbers, etc. follow one after another without an interruption",This is the fifth consecutive weekend that I've spent working.,We’ve had five consecutive days of rain.
consent,permission or agreement,They can't publish your name without your consent.,give consent Your parents must give consent for you to go on the trip.
consequences,"a result of a particular action or situation, often one that is bad or not convenient",serious consequences Not making a will can have serious consequences for your children and other family members.,dire consequences Eating too much processed food can have dire health consequences.
Consequently,as a result,I spent most of my money in the first week and consequently had very little to eat by the end of the holiday.,"I was very worried, and consequently I couldn’t concentrate."
conservative,"not usually liking or trusting change, especially sudden change",a conservative society/outlook,Older people tend to be more conservative and a bit suspicious of anything new.
consistent,"always behaving or happening in a similar, especially positive, way",There has been a consistent improvement in her attitude.,"Her work is sometimes good, but the problem is she's not consistent."
constraint,something that controls what you do by keeping you within particular limits,constraint of The constraints of politeness wouldn't allow her to say what she really thought about his cooking.,constraint on Financial constraints on the company are preventing them from employing new staff.
consult,"to get information or advice from a person, book, etc. with special knowledge on a particular subject","If the symptoms get worse, consult your doctor.",I'm not quite sure how to get there - I'd better consult a map.
container ship,a ship that is specially designed to transport containers (= large metal boxes containing goods),Now there are more and larger container ships that can quickly move goods from continent to continent.,It was the biggest containership I'd ever seen.
contaminate,to make something less pure or make it poisonous,Much of the coast has been contaminated by nuclear waste.,The food which had been contaminated was destroyed.
contaminated,poisonous or not pure,contaminated with The infection was probably caused by swimming in water contaminated with sewage.,contaminated water People need to stop drinking the contaminated water.
contemporary,"existing or happening now, and therefore seeming modern",contemporary music/literature/art/fashion,"Although the play was written hundreds of years ago, it still has a contemporary feel to it."
contempt,a strong feeling of disliking and having no respect for someone or something,contempt for At school she had complete contempt for all her teachers.,treat someone/something with contempt You should treat those remarks with the contempt that they deserve.
contentious,"causing , involving, or likely to cause disagreement and argument",a contentious decision/policy/issue/subject,contentious views She has some very contentious views on education.
